review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R4PKAZRQJJX14,1,21,34,N,N
R2CI0Y288CC7E2,1,21,35,N,Y
R127WEQY2FM1T3,1,147,175,N,Y
R3EZ0EPYLDA34S,1,14,31,N,Y
R2FJ94555FZH32,2,55,60,N,N
R1U3AR67RE273L,1,51,65,N,Y
R3PZOXA5X1U8KW,4,31,36,N,N
R6KTC1OPIOIIG,2,19,34,N,Y
R36O341WWXXKNP,5,28,31,N,N
R3GSK9MM8DNOYI,1,4,32,N,N
R10LZVBLQHBVJ0,2,151,198,N,N
R1VR5GLGY1GE7N,1,49,51,N,Y
R3GUUC6NT4QMCL,1,5,36,N,N
R1ZSD020RT18I5,1,7,139,N,N
R113X48B575ASY,1,15,45,N,N
RJLYLGRYH7SFQ,1,34,116,N,N
R2OWDAR0EDEPTF,1,23,28,N,N
R3CICXKAHN6NUD,1,0,23,N,Y
R29BOS5HMAY1LO,5,88,110,N,N
R8WD0136CETA7,2,99,119,N,N
R1T6U2ZTAVYG9T,1,6,44,N,N
R16621F16PQN5A,3,24,31,N,Y
R1LXBPG1M9DDOC,1,102,106,N,N
R15XBIFN7R8608,1,8,75,N,N
RNEMGSUKJ4535,2,21,25,N,Y
R14DA3NTAKENT7,1,2,24,N,Y
R3R2UKBFKP1IQ4,1,19,23,N,Y
R2T90XM5G2DBZA,3,15,22,N,Y
R5ZMK0Y0KRBRZ,1,79,91,N,N
R12E2W0XOV3I2S,1,24,30,N,Y
R1AEABJFBSYSZC,2,44,53,N,Y
R2MIOC0EABH1ZM,1,32,33,N,Y
R1RTIKR8HWSJYQ,1,0,20,N,N
R3RHVOI1E71SRQ,1,3,31,N,N
R1EFQCU4O6THP3,1,44,55,N,Y
R4HTDKN4IZD7J,1,150,172,N,N
RDX2ZZ46AM343,5,32,34,N,Y
R2BXC8UAXJXWTU,1,1,22,N,Y
R60GI4Z1CNGGV,5,17,20,N,Y
R3GREULK952OO8,2,23,29,N,N
R5BJZY2B2DC3I,1,6,39,N,N
RIDXF6ZAXQWU7,2,49,61,N,N
R17WUQD2WO6PXN,1,3,52,N,N
R658TYH5GMTGU,1,3,28,N,Y
R37IYC3C5BGYTD,1,6,117,N,N
R3QEHRKPDDDJ3F,4,79,82,N,N
R2UHB4QYBZNQGW,1,3,30,N,Y
R29OV327V7YZGV,4,243,256,N,N
R1PC3V3F59Y14F,1,18,22,N,Y
RJFV367934CV2,1,2,25,N,N
RI6071VCYO6KH,1,1,29,N,Y
R22WO89JM9T6QO,2,26,33,N,Y
R2FAARI3JQO9XQ,5,29,30,N,Y
R2FKTTW5P4Q8TU,1,10,31,N,N
R35D23GJN1QGR7,3,39,47,N,N
RQQZEFETCL1F4,1,45,54,N,N
R2WS53BH47WUMT,5,68,84,N,N
R2BBH73BUJYBGK,5,18,22,N,N
R1BK9FJTTTM078,1,1,46,N,N
R2SEY6BJG2PNI7,3,25,40,N,N
R29XGNCNFW715U,1,1,48,N,N
R18ZBSSAMJOV8I,5,450,471,N,N
R2SLS349O4FNP3,1,0,49,N,Y
R2PL5Z22NOXOGC,3,16,22,N,N
R2FVQ2YBZIUCZN,2,3,24,N,N
R2708NF5UG7339,1,1,50,N,N
R2NRGYM7XY4LMP,1,42,48,N,Y
R3MNCTI3FCVX9O,2,80,98,N,Y
RYJVJ765QAQJW,1,14,20,N,N
R2BUAODG1CZVIP,1,5,130,N,N
RDZMTFIR8R50W,1,4,46,N,Y
R3M42FPE0VJA0U,5,20,22,N,Y
R2C0GU1JKST8I0,1,8,43,N,N
R2KKRG01BTMZBA,1,14,121,N,N
RCK4WXLGD3HDY,5,72,81,N,Y
R3JEZ1ILQLIWWU,1,45,45,N,Y
R3UBBDXHI6QFV1,1,30,36,N,N
R18YE5XIUB40P9,5,18,20,N,Y
RJVKA2B426097,3,24,31,N,Y
R2TWSK8571R1X,1,2,47,N,Y
R1Y8RG2EIVXEAH,1,17,221,N,N
R3PP0ZLJAUEVMD,1,5,38,N,N
R2NZREEFD7IQ2U,1,7,44,N,N
R3SPYZXDYYNHS6,1,45,56,N,Y
RQX97OJ9712RG,1,2,48,N,N
R3HHJXF8GVBOGI,1,5,22,N,N
R3KJSJDHGR9TK2,1,2,171,N,N
RDU0H4FXCK7N6,5,36,47,N,N
R3D63G8TCUI27K,5,10,24,N,N
R1I1EFIKJEUYPW,5,14,23,N,N
R1QMI8QZO2RORC,1,10,175,N,N
R361DD529OSJEI,1,3,51,N,N
R36WZ5NSI0L15K,1,48,58,N,N
R2WPAHM90BCWUN,5,210,227,N,Y
R2VIJO1LUNC2D0,1,19,156,N,N
R2BV3KQSTCD1X4,1,33,43,N,N
R10F5UPYCU7FP6,1,5,62,N,N
R2OQWDMRNRQWPK,4,60,83,N,N
R28VQTB2GEP8VO,1,56,60,N,Y
R36BPLEJ7NEIGU,5,16,22,N,N
R3QLOXDGBIMZZY,1,46,59,N,N
R1Q0A0OBLP6XBF,5,40,49,N,N
R3A0OAIPIIXZS3,5,70,79,N,N
R1KM8H2IP5U32V,5,21,27,N,N
RBLN6QHUYWTSZ,2,66,78,N,N
R1PQRBN3KVF0BI,2,24,45,N,N
R2CUQ7BSCBOXVB,5,24,25,N,Y
RRMTG08P9F9TQ,1,6,148,N,N
R3H5ESWACX0M2C,5,71,81,N,N
R177P7U1204XMT,5,11,25,N,N
R18UIVCYVG6HKQ,3,13,20,N,N
R1988S0N1SKJ9K,2,5,35,N,N
R1RA7M526HB0O7,1,7,20,N,N
R1576MJPKDKG41,4,23,33,N,N
R3TDFLUF6CT16Y,3,2,24,N,Y
R34F1FXWG6V3UV,5,29,34,N,N
R19KWX7FZX6WS3,1,45,48,N,Y
RWY0S0RRNEEFU,1,15,21,N,N
R1GHT3S4J5LMGY,5,33,42,N,N
R3J3VIAQRJ8CU1,1,1,21,N,Y
R2XDXQGNXSP9L8,1,5,33,N,N
R19WHNBIC59H1N,3,15,26,N,N
R2D9JXEG5RXLZC,1,17,22,N,Y
R2IA8S092OPQ8D,1,14,20,N,Y
R3NIMOJ8Z8ANLQ,1,27,33,N,N
R3GZ28U5DYUO0M,1,17,21,N,Y
RCOXLQ7GHA3N1,1,29,37,N,Y
R16HSKRHIFCQX7,1,20,23,N,N
R1JZC613ALARJC,5,56,63,N,N
R16YOWI4OUOK8T,5,5,22,N,Y
RAN8NO9FFAJ4Z,1,15,22,N,Y
RZ96PWGUW68WP,5,33,37,N,Y
R3QQMH0YV02GEB,1,1,50,N,Y
R19UV6IV5IK6QY,4,96,107,N,Y
R2NW91TWCD6MFY,1,21,26,N,Y
R35NRJ1B2263BH,1,5,30,N,Y
R1LD546TW3K1HB,1,6,33,N,N
R23Z2K6GIQ2E6O,4,19,20,N,Y
R2HZNZFT0C7U6U,4,23,23,N,Y
R2EWX8RI2AUIUB,2,36,46,N,Y
R210TCF7BT4UM9,5,66,90,N,N
R3GG9PM2YHXWJU,1,3,27,N,N
R3RY2C3PZMO9S9,5,23,23,N,Y
R32ROUD0PKZKN4,1,2,30,N,Y
R23PVY4LEQRZDY,5,33,37,N,Y
R38V0ZJX3M3JMN,4,17,43,N,N
R2HFD721HBPKNB,1,21,22,N,Y
R1C4DXR3JRXLL4,1,0,20,N,Y
R2B8CIG9YRID0H,1,7,37,N,Y
R1KEV532QY147F,5,18,27,N,Y
R75N4GDKPVFXG,1,0,27,N,Y
R202NID9FG773L,1,7,20,N,Y
RZDBVGAIS1J4,1,0,33,N,Y
RWL8NELB9YVUK,1,12,21,N,N
R777N69D8NEVR,4,19,21,N,Y
R1NU6BHCJKR2SW,5,18,24,N,N
R1W1VOR3QCW24H,1,17,22,N,Y
R2TAM0DN0XV061,1,24,41,N,N
R3HW9WV88OG8I9,5,27,29,N,Y
R13NAL0PTL4Y3U,5,32,33,N,Y
RT17XD0D7C1VO,1,8,33,N,N
R3HJO2NJSPAKWL,5,33,36,N,Y
R1XGRNPX2UQ2OA,1,3,35,N,N
RS2K3E7K8RWN6,5,21,25,N,Y
R2DU3G0X5LYNZ1,1,76,90,N,Y
R29D8DBD6N74MU,1,4,31,N,Y
RJYRYSQB99T1S,1,3,26,N,Y
RE66FBRHSGJZN,1,18,21,N,Y
R16GXHWGXCEVG9,1,2,22,N,N
R2EQQMVUB1NX9T,5,69,78,N,N
RAJO1V8TIVGNX,5,33,38,N,N
R34LFY2SBDGR6A,1,24,26,N,Y
R23CC784XXCXN0,1,8,22,N,Y
R3ILPMYXR8TMUO,1,3,29,N,Y
R2KNU3C7ZEJHTQ,4,22,25,N,Y
R2O04IJGGEZCLC,4,38,39,N,Y
R2ONHEUT8RS781,1,1,20,N,Y
R13IRJ5CCFXTWR,2,23,29,N,Y
R3GH3EAQUVH945,1,1,26,N,Y
RRAJP6202SK9R,1,2,28,N,Y
R1KW6HCTN4T63Y,1,0,24,N,N
R2II27GJ90LU2Z,4,39,40,N,Y
R1ZB12NQC1BQ8,1,13,46,N,Y
R1AVEV7QESP6JY,1,44,47,N,Y
R2HY3ME2WDP011,1,68,74,N,Y
R3I2R90HEYY82O,5,38,41,N,Y
RC04OND0PNKCI,5,24,32,N,Y
R1PDUH0JA7BS13,5,68,68,N,Y
R1ZER76ZSNEG41,1,12,41,N,N
R3VS0RVCPQF89L,1,18,29,N,Y
R2LWDI8E6M2UL8,1,117,154,N,Y
R30B5IVYB0WVAM,1,32,36,N,Y
R280A0VZPTETLX,1,1,22,N,N
R1ED2KVCUOWKAJ,1,29,29,N,Y
R1WSEGXLMGOABV,1,11,48,N,N
R17F14IXLSW51N,4,3,30,N,Y
R3C1WWLIOA4AYE,1,3,35,N,N
R2IDIQA458S5BL,1,29,30,N,Y
R1LFWBRRPT6IV0,1,2,30,N,N
R1CPH3DPXGIXWQ,1,28,42,N,N
R3G8Y393YVJLBD,1,2,32,N,N
R1MMS91HX2MC72,1,2,26,N,N
R1FXBZS4NS5VTX,5,20,21,N,Y
